commit_id,msg
697fd66aae9beed107e13f49a741455f1d9d8dd9,"Initial commit, working with Maven Central"
52bd53f5ea5eec84818d65b40e81d0a82ada6ba8,Restructure into smaller files
b5b2f5ef9e908a3c53e4afe017a60f2b878a93b3,"Correct artifacts, moved pom to more visible area"
9fa9ec0acce8afc01da943b1922a731059cb4cd2,Avoid signatures in archives unless doing mavenCentral build
3a10a077f9fc6c3aff7b7b1eebe9365d34b5acb4,Remove local testing file
61b1710621d138556fe2d5621076ea40ad47f8af,Multimodule builds need a dump signing task
66332d8b8fe98c8068c85c215dbbacc66397a68f,Fix quotes
1df6e445488edfec78512c70e4db7352a1df57ec,Use lifecycle to add signing task
7c28a7637fbaf8c78ee8efcdae85592663960ea6,Create branch that contains only build related files
bc662051d8c72ea7b20350b1746e1a8f527c9244,Un-indenting HEADER
e9cdf18da174446ca4f50c4633f5c7bf37628903,Merge commit 'bc662051d8c72ea7b20350b1746e1a8f527c9244' into multi-project
bf5b268244d4eea430049627a734b3fa19307b3e,Make one less thing people have to change
eaa8fc97a4427d51bf8637570a263d4f4e33e5af,Sonatype URL was wrong
cc1b04ce986105cc04a141554902e5cb699efbcc,"Merge pull request #3 from Randgalt/multi-project

Wrong Sonatype URL - don't know why this wasn't found before"
0f0c6114889de1c0c3d702661aa44f95ec76edea,Enable license header plugin
c2af08e723518a2191e51bf9eae694fda12d1bbc,Upgrade to Gradle 1.1.
a85e1963ffaacd0d695baa356f69adccfcbbebf4,Adding cobertura
8f289b73e539edc34a4fcd22df1c6dc9d97f216f,Release plugin
ddedbd72afbfbd786614983f3ffbc10e1522c6ec,Pointing to a repo in our control
f170238c6df0e5991758ea14058e1b6ef05fa905,"Using custom build of release plugin, to support building from a branch"
1954d730193a6ee7300cbcdf5f4cfaa74e9faa3e,Setting default name for multi-project
2b31d36a03edcc93a3d2c478ba8b8c3b315df85a,Changes needed for release plugin
a8674db7d92f5a6669b8f373205cfef52b995ba9,Stop relying on maven convention on project
6d4a854dca49cbfd989b468efc4e7bce89796e08,Filling in more pom fields for Sonatype
61bd2b059be16052e2372e792ec8698af9589d79,Add local publishing
05c4d0660d4f5317e430f0dc7f0c1487ac4f51e2,Putting javadoc and sources into proper confs and setting types
1cbb4d6dbe34998f4caa2cbe52c59abc8e0e4886,Fixing issue when publishing source/javadoc to maven central
66ff83f789785e9351cec4fb54b6f6ffa0eb9874,Using a better github location
36e5b8f5d64e08147ea98ae17e15a21d716b8b10,"Adding provided scope

Conflicts:
	gradle/convention.gradle"
b7847eb946161b85609621f0392eb33e32b5cf42,Fixing transitive-ness of provided
27fef9c7385f5964853862adcd6373ce873bea18,Initial commit
9c2c93e160cab24f50caf3750fd7d5bf29f9240b,Merge branch 'multi-project' of github.com:Netflix/gradle-template
6d0e7fa0ebf691f1ea6bff652a08dc822649f9bd,build settings for rxjava-core
87cfa7a445f7659ef46d1a6a4eb38daa46f5c97a,Initial commit
6cb679069c44aecbbaa3c9a4ce4f4df58a0e8fac,"Java 5 compatibility target

We want to support Android."
85211da0e2f287979e8e44bceeddc2bb0dd1fad7,Organize imports and format code
2a4122c11b95eaa3213c2c3e54a93d28b9231eec,"Rename to Observer/Observable

Observable is now a concrete abstract class rather than an interface with 1:1 relationship to a concrete class."
9d48f996e4ee55e89dc3c60d9dd7a8d644316140,"Refactoring for consistent implementation approach.

Combined ObservableExtensions into Observable to match how Rx works (Observable.* methods)"
d297befc1fa5516148a8324a2ce47b7ce2fcbc09,"Merge pull request #1 from benjchristensen/api-and-naming

Refactoring conventions"
c3500f8f7fadd16a2ea93955b3101ed0291c1382,Add more arities
f57a242b17f1214142dea97c0cb9049b106378a0,"LanguageAdaptor for Function execution

Removed dependencies on Groovy and JRuby from rxjava-core"
e476d7d9645b85e93d44ab8bdb9b462efe660034,GroovyAdaptor
6587a37ebf4da29fcb2af454d220db7cf5920878,JRuby adaptor
456af8533e2f0b986d6fdd7c5c962a2023eb6943,License headers
ef6dd02a4fdab48f1126739bb75750add56af7c4,Javadoc generation
74caddb921dfd99c755198dd1dd049ca9d848d08,"Merge pull request #2 from benjchristensen/language-adaptors

Language adaptors"
ab8f73fa70a28674153e10ba6cd2e338d53f70cf,"Forward from Object to Observer overload

Be more lenient in handling the overloaded methods."
