commit_id,msg
42d8ff5fb3ed12ed1b79bc71ca2e7b6c71dc1ecc,初始项目信息导入
6c918f208a317a3385ba25056e3a351cd59cf088,品牌模块功能添加
109a95d3def3d17ba561004f403b90dded5df7a4,结构调整
5dca3a75df45590da2ba0e57f360d7c4094d0b0c,demo前端模版添加
d74b7c2b5727a5b19999988b5bf985116581ecd7,修改说明文档
390132d9e855a765cc5acd28b00393b43228300f,修复主键重名问题
0ccc58178e9c58e7ba56b637134330f48d2dbfde,商品品牌接口完善
569508e96fa3a7012fa64fa80cee30f4c8f566b0,添加产品分类接口
8dde877a9fd39aae1bcb7b910e2ec2a0aaf0ea0b,添加产品属性分类接口
2d4dc7e0c188a8036141dcf37ca00ead68366bad,通用日志记录
79c6602f2f44856ed95ab4c9296c1d7939b7dc1c,aop日志功能完善
3f2652545f3a06d170ff8e3e5affc9ec4b00c6c9,添加通用验证操作
744e52abf40a828610f49eb431964ed01390a787,swagger文档注释修改
cd1dd9190afae2dd865f4eccb63e1572d720199c,添加jwt支持
b0a945d2429748577035ff892e0fb713cfc7428a,JWT认证授权功能完善
da20e10fc20fa4e2d11bf41c2bda8fad22744381,部分问题修复
353d73119682f34706143841e1339b1ebf8c9344,添加商品属性接口
bc3c569616c00f03541ebfcbbb3ef7cd6cfa28f4,model添加字段注释
a41633a9b7178917bc112e01b2e21aab5b638daa,创建商品功能完善
f603ca624dbf0876d79c796155455f94430c3cb2,注释信息完善
edc71542ae792f7360109f5d8331072594a64bfa,添加创建产品功能
17e6a32d023f38fa9549d99e999012c8a6bd77a2,添加商品查询、添加、修改功能
f5f4b49de6c71379c0967226e522b8f3c2c3662d,sku库存接口完善
49e5bf4bc0224939d7a9fd22890402d856ac9b89,修改readme
4be3dc05eb311f42c6eb50c2190eed3e6b62f320,文档修改
eb667afd0a9c53663cd69251a2cd2bbf519d69f3,文档说明完善
2f52c6b858f5b925c3de217b427a5450765b6e13,支持跨域调用及登录功能完善
c295f5a839989b2c7ec08ac9bb09e2d85e0d4bff,品牌接口修改
59bdc015f9016b2d7efe3047f9cf95d2fc391c9f,问题修复
61d66f7caaa5261ca2f71aa9e76a522ce1b8ed67,添加oss功能
8ad969b131b33375c843558e0be0db4c3bfa019c,oss上传功能改进
aba49c58cbb55d8b42aa7c8b960d3b7ca6962bc9,商品属性添加删除数量修改
96fc15e00375d80a2871c29348238d2f457c6440,商品分类接口修改
424cbe0df5862ca6bb61692674e2a2f888323dbf,商品分类及属性接口修改
8e48c839ff9c7ded3eea36cf3a87d76fccc842aa,商品分类修改完善
c9e591ca64f3eeba022916d774c9d8570d4b1a89,商品接口完善
7e6e3d00b0287026b0385f4bf42a7a0b5d8ebe02,字段修改
a4d721251054b950e17e3a8e05b3f18807b55b65,添加商品专区和优选接口
a97a2fe7bc8a54f98dffe54d07812bcc1a66093a,部分接口修改
2b0372f46d394216c378faeaff64586f6bb82d6c,商品接口修改
1d7e490d13daa5487739126043fdccf109e34f68,问题修复
ea516e85cddc3bf41b0cfb2157dfb65d90934389,添加测试sql文件
f960972e5432fc279115d6502d523c92cc381304,springboot升级为1.5.14，添加搜索模块
d1e687da739d2ae6c07a7003205a79d305001c43,添加商品导入es功能
25badf41ec0434cede0dd9a3e60aa401d6294346,添加综合搜索功能
9fd35c0662c6af81528f970d730cc6477a596f4d,修改
9523533c996ef2536727320158314ad0e1f158ee,sql文件更新
a76e46e57b96ac55465626a88cb0ab9d79ea0dbb,集成ik分析器
bddb2beaa72f75bf33b8faaaffbe8470aee29b51,添加聚合获取商品品牌、分类、属性功能
b0f38aa8ac772bcca22888012e2550f0ebb80aa5,完善商品app思维导图
9cf96b8580718d47ee784c33670a2a34bc719df9,app功能结构完善
51568f6873bf6a05af13475ff4e7c735f6ca7560,添加app原型文件
4aa8080ac24ef72ac9fc8550a09783b7794726a0,设计文档完善
2926235641f95c4b2c745ff22f927351fb5db280,修改
22c926466341b05dbee417a54ae7d3f95405375e,修改
18f1d01d4ecfbbcbc62a7f635b7170aabe6c538b,完善文档
278b8eaefaab3d9d938648fd19e53c0bf19dacc0,文档完善
983293ff48767249ef41083afb0bf5b4d7dc38db,添加前台工程
96fc2c6d52904ba7b72ecd7e556472dcbed04f00,添加购物车表
cfe5c0fe80579bd85ac68e6f7a79cd81d662aaa4,添加购物车功能接口
02b555c5191ff5f20155817560c9c9db7c979147,添加品牌关注和商品收藏功能
cc1129612037154a9703d28fe7c2204ab945b1d0,添加浏览记录功能
e4ce0df42a40e7ee322bdb394a1cba89fef6d3a7,登录注册功能添加
f75835cee4935a1dc3d14f325378c8223b02a1b5,会员登录注册完善
575eb0a8f826e52bda79e80772b7babf1e6b3cdd,购物车功能修改
69ec434f436600bcdce71dad198a008084991ccd,添加https支持
50e893264517129a294d7ec055f7016efb2e41a5,redis实现验证码功能
c4cb28cf298229226daa2e37ae42e19296b73418,tomcat配置修改
7ece9913960884ab3a59a196fcbecac72c6e99d3,添加docker部署说明文档
8cb20508e869e761123861922ba31285faae24e7,添加docker容器化部署，配置区分dev和prod环境
f92927086d03bb34d64413660659f706920e5a1c,添加自动化部署脚本
6b573d261a5abcc178b67a0eba25ea6163ec611c,sku表修改及添加购物流程图
16794132b27db8af28ec8d9c27af29424b9df44d,文档添加工具说明
abfb6c13e6caa0999980eecee064e1093347c045,定时任务添加
5790bb6480272342f074c12ff5ecff0aec62c775,添加计算购物车优惠的功能
00a073709ebd4e9f38eb313079801cf8c76da0d7,购物车促销信息优化
616f4dfb1a62754f720cfdd0f46805f10f275b9a,收货地址管理
8ddd3529a080ee1cddfc1b1bd4270d96d5323ac1,忽略mybatis自动生成的mapper.xml文件
a5faaf15679c02049ed12c61416e946a0655eeea,test
201b405a088503fa32dc4fff65409479bc6db065,添加优惠券管理接口
61a67c9aa9654578f5ef4eaccb43bc683b3eefea,添加获取购物车中商品可用优惠券接口
b33f396d530c3b8579be3d7e9041cbb5c541618e,添加生成确认单接口
c9831e0288be9a2aff7dd95aab4c90b187121762,添加部分下单接口
2dd5d93919c423ac442d88395f5a2856f0495e6d,下单接口完成
cae7f7e4f87cc28959e8ca96e46012079739f2ac,文档完善
cbdb93ee3f7ff8178e618a0593a371c1a8f0d9e9,下单接口完善，添加支付成功回调及自动取消超时订单接口
4ddb476f5f5ad19b50f880a81472e9684d67fb6e,app思维导图修改
0862e9fc74f170032ade4f2ae85022f14bce64fb,思维导图修改
8e959bf87331ad671ad5de15233ee51e319597a1,集成elk收集日志
e3afdf6570d66beaa5be5d6ec01c802e894f6920,logback配置文件完善
3ecffb1554d1cbe376f29a59a72039785af221a7,数据源改成Druid
f50739ac20591d93a8247149260d40a292e51758,消息队列实现取消订单
e298a170d34982c6a2388f55323d5848253d9ffa,rabbitmq实现延迟消息
30bb4cd0f918222c6426f875155c6f666de25f92,集成restTemplate
207a72d116c7ed35e1429f030f4da10d882369ab,添加权限管理数据库表
7faffe541acddc0315ded133f333269803e29d7a,添加权限管理功能
ddbdfbdf79b5bc0cbb5387f59f824fa021fdb48f,权限管理接口完善
2d6521c8611b4f3704d69d8943e1214e5c75b660,商品、分类、品牌接口添加权限控制
6fdb1a9ede3ba4b77abb05fd75ffe32a9820ef8f,开发文档添加订单需求
201960328bf9511c34559167380938444974686c,订单接口定义
8705320127f4f1772af70809126deeb86d61db67,添加订单列表接口
9523e3acc0790786b35ea74fb9930784f2ef9df3,添加订单设置接口
53092ef98e0fca63b871c7f2fee7ad8907258ad8,添加退货原因管理接口
06388c0b5f123c220b981ef08a7b829902b414f2,重新生成mybatis文件
74a4448931b898398e1a51b975349430b092b62e,添加申请接口
7054e92cf45205ab4a3d17c40757e55eb8387ab7,添加退货申请接口
168dc0b10bc096000e9f124171173f817e16a9c2,bug修复
e90c511f662547d943bba2af1c3c52073279f62e,订单接口改进
b71ae01aeda64ab64a89b41a11de1d05f22cfbfb,订单修改接口添加
306da6f4d9163cc199734604fc89a8f453414346,订单接口完善
616c4d3326d48b97c9aa765bb3e2823055748ba4,数据库文件更新
8ef1fcc93d8946e6924455dc4177c6ab57600cd4,优惠券、首页品牌、首页新品接口添加
0659f26e6272f2e06772db094a0ef3b8b7d256eb,首页管理接口添加
483721db8ffa082f35f269b858018574d54fb91b,部分修改
